"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1";"Название св-ва для модификации товара №2";"Значение св-ва для модификации товара №2"
"Костюм теплый женский 51858";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51858;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216598003/6e1ffd/kostyum-teplyj-zhenskij-51857.png
https://i3.storeland.net/3/1660/216598004/6e1ffd/kostyum-teplyj-zhenskij-51857.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-6;;195142274;;;Размер;"L (50-52)";;
"Костюм теплый женский 51858";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51858;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216598003/6e1ffd/kostyum-teplyj-zhenskij-51857.png
https://i3.storeland.net/3/1660/216598004/6e1ffd/kostyum-teplyj-zhenskij-51857.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-6;;195142274;;;Размер;"М (46-48)";;
"Костюм теплый женский 51858";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51858;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216598003/6e1ffd/kostyum-teplyj-zhenskij-51857.png
https://i3.storeland.net/3/1660/216598004/6e1ffd/kostyum-teplyj-zhenskij-51857.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-6;;195142274;;;Размер;"XL (52-54)";;
"Костюм теплый женский 51858";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51858;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216598003/6e1ffd/kostyum-teplyj-zhenskij-51857.png
https://i3.storeland.net/3/1660/216598004/6e1ffd/kostyum-teplyj-zhenskij-51857.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-6;;195142274;;;Размер;"S (42-44)";;
"Костюм теплый женский 51858";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51858;"1 420,00";0,00;"1 100,00";100,00000;шт;"https://i3.storeland.net/3/1660/216598003/6e1ffd/kostyum-teplyj-zhenskij-51857.png
https://i3.storeland.net/3/1660/216598004/6e1ffd/kostyum-teplyj-zhenskij-51857.png";;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-6;;195142274;;;Размер;"2XL (54-56)";;
"Костюм теплый женский 51857";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51857;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i2.storeland.net/3/1660/216598002/6e1ffd/kostyum-teplyj-zhenskij-51856.png;;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-5;;195142273;;;Размер;"L (50-52)";;
"Костюм теплый женский 51857";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51857;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i2.storeland.net/3/1660/216598002/6e1ffd/kostyum-teplyj-zhenskij-51856.png;;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-5;;195142273;;;Размер;"М (46-48)";;
"Костюм теплый женский 51857";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51857;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i2.storeland.net/3/1660/216598002/6e1ffd/kostyum-teplyj-zhenskij-51856.png;;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-5;;195142273;;;Размер;"XL (52-54)";;
"Костюм теплый женский 51857";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51857;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i2.storeland.net/3/1660/216598002/6e1ffd/kostyum-teplyj-zhenskij-51856.png;;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-5;;195142273;;;Размер;"S (42-44)";;
"Костюм теплый женский 51857";;"Размер: S (42-44), M (46-48), L (50-52), XL (52-54), 2XL (54-56)<br />
Ткань: двунитка, флис<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51857;"1 420,00";0,00;"1 100,00";100,00000;шт;https://i2.storeland.net/3/1660/216598002/6e1ffd/kostyum-teplyj-zhenskij-51856.png;;;"Костюм женский";"одежда оптом, с шортами костюм, купить костюм, костюмы оптом, оптом, женский костюм, прикольные, модные, интернет магазин";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";efdd045020-5;;195142273;;;Размер;"2XL (54-56)";;
