"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Бюстгальтер женский 51160";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51160;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278570/6e1ffd/byustgalter-zhenskij-51159.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-60;;194994641;;;Размер;100
"Бюстгальтер женский 51160";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51160;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278570/6e1ffd/byustgalter-zhenskij-51159.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-60;;194994641;;;Размер;85
"Бюстгальтер женский 51160";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51160;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278570/6e1ffd/byustgalter-zhenskij-51159.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-60;;194994641;;;Размер;90
"Бюстгальтер женский 51160";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51160;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278570/6e1ffd/byustgalter-zhenskij-51159.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-60;;194994641;;;Размер;80
"Бюстгальтер женский 51159";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51159;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278569/6e1ffd/byustgalter-zhenskij-51158.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-41;;194994640;;;Размер;95
"Бюстгальтер женский 51159";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51159;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278569/6e1ffd/byustgalter-zhenskij-51158.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-41;;194994640;;;Размер;100
"Бюстгальтер женский 51159";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51159;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278569/6e1ffd/byustgalter-zhenskij-51158.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-41;;194994640;;;Размер;85
"Бюстгальтер женский 51159";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51159;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278569/6e1ffd/byustgalter-zhenskij-51158.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-41;;194994640;;;Размер;90
"Бюстгальтер женский 51159";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51159;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1628/216278569/6e1ffd/byustgalter-zhenskij-51158.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-41;;194994640;;;Размер;80
"Бюстгальтер женский 51158";;"Ткань: полиамид<br />
Размер: 80, 85, 90, 95, 100. Чашка C/D<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51158;320,00;0,00;250,00;100,00000;шт;https://i2.storeland.net/3/1628/216278568/6e1ffd/byustgalter-zhenskij-51157.png;;;"Бюстгальтер женский";"одежда оптом, Ночные сорочки, купить топ женский, бюстгалтера оптом, оптом, ночная, прикольные, модные, интернет магазин, лифчики оптом, лифчик женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";09093ce587-39;;194994639;;;Размер;95
