"Название товара";"Короткое описание товара";"Полное описание товара";"Скрыт ли товар на сайте?";Артикул;"Цена продажи, без учёта скидок";"Старая цена";"Закупочная цена";Остаток;"Ед. измерения";"Изображения товара";"Короткое SEO описание товара";"Полное SEO описание товара";"Заголовок страницы товара";"Мета-тег keywords";"Мета-тег description";"URL переменная пути";"Описание модификации товара";"Идентификатор товара в магазине";"Пользовательский идентификатор товара";"Изображение модификации товара";"Название св-ва для модификации товара №1";"Значение св-ва для модификации товара №1"
"Комплект женский 51266";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51266;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1630/216294686/6e1ffd/komplekt-zhenskij-51265.png
https://i5.storeland.net/3/1630/216294687/6e1ffd/komplekt-zhenskij-51265.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-42;;194998574;;;Размер;56
"Комплект женский 51266";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51266;520,00;0,00;400,00;100,00000;шт;"https://i5.storeland.net/3/1630/216294686/6e1ffd/komplekt-zhenskij-51265.png
https://i5.storeland.net/3/1630/216294687/6e1ffd/komplekt-zhenskij-51265.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-42;;194998574;;;Размер;46
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;50
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;54
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;48
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;52
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;56
"Комплект женский 51265";;"Размер: 46, 48, 50, 52, 54, 56<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51265;520,00;0,00;400,00;100,00000;шт;"https://i1.storeland.net/3/1630/216294684/6e1ffd/pizhama-zhenskaya-51256.png
https://i1.storeland.net/3/1630/216294685/6e1ffd/pizhama-zhenskaya-51256.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";24d7d2d7e1-41;;194998573;;;Размер;46
"Туника женская 51264";;"Размер: 46-54 единый<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51264;320,00;0,00;250,00;100,00000;шт;"https://i2.storeland.net/3/1630/216294678/6e1ffd/tunika-zhenskaya-51257.png
https://i2.storeland.net/3/1630/216294679/6e1ffd/tunika-zhenskaya-51257.png";;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-237;;194998572;;;Размер;единый
"Туника женская 51257";;"<br />
Размер: 46-54 единый<br />
Ткань: хлопок<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
<br />
 ";;51257;320,00;0,00;250,00;100,00000;шт;https://i4.storeland.net/3/1630/216294670/6e1ffd/tunika-zhenskaya-51255.png;;;"Пижама женская";"одежда оптом, Ночные сорочки, купить сорочку, сорочки оптом, оптом, ночная, прикольные, модные, интернет магазин, ночнушки оптом, Халат женский";"Женская одежда оптом, мужская и детская одежда оптом. Одежда дешево в нашем магазине. Интернет магазин Cozy работает с 2014 года.";01bd87b360-231;;194998564;;;Размер;единый
